FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
106.890243530273,010201,1,4,1,1,5,4,1,1,1,0,1,1,0,2883.8701171875
106.890243530273,010201,1,4,1,1,2,4,1,1,1,0,1,1,1,6835.68489583333
106.890243530273,010201,3,4, , , , , , , , , , , , 
106.890243530273,010201,1,4,1,1,6,4,1,1,1,0,1,0,1,2649.25244140625
106.890243530273,010201,7,4, , , , , , , , , , , , 
106.890243530273,010201,1,4,1,1,5,1,1,1,1,0,1,1,0,2002.40559895833
106.890243530273,010201,1,4,1,3,5,4,1,1,1,0,1,1,0,3838.00911458333
158.351348876953,010701,1,4,1,4,5,4,1,4,1,0,1,0,1,2632.21647135417
158.351348876953,010701,1,4,1,1,6,4,1,4,1,0,1,0,0,3021.083984375
158.351348876953,010701,1,4,1,4,6,4,1,4,1,0,1,0,0,466.612670898438
158.351348876953,010701,1,4,1,3,5,4,1,4,1,0,1,0,0,975.578125
158.351348876953,010701,1,4,1,3,6,4,1,7,1,0,0,0,0,438.887451171875
158.351348876953,010701,1,4,1,4,6,4,1,4,1,0,1,0,0,1103.02628580729
68.2859725952148,010513,1,7,1,4,6,4,1,1,1,0,1,0,0,1699.88623046875
68.2859725952148,010513,1,7,1,4,4,4,1,1,1,0,1,0,0,2435.38069661458
68.2859725952148,010513,5,7, , , , , , , , , , , , 
68.2859725952148,010513,1,7,1,4,5,4,1,1,1,0,1,0,0,1276.83251953125
68.2859725952148,010513,1,7,1,3,5,4,1,1,1,0,1,1,1,5501.93294270833
68.2859725952148,010513,1,7,1,4,6,4,1,7,1,0,1,0,0,1533.509765625
68.2859725952148,010513,1,7,1,4,6,4,1,3,1,0,1,0,0,2567.73665364583
68.2859725952148,010513,1,7,1,4,6,4,8,4,1,0,1,0,0,720.357177734375
68.2859725952148,010514,1,8,1,4,5,4,1,4,1,0,1,1,1,2375.9267578125
68.2859725952148,010514,1,8,1,4,6,4,1,4,1,0,1,1,0,983.469807942708
68.2859725952148,010514,1,8,1,4,6,4,1,4,1,0,1,0,0,1188.60953776042
68.2859725952148,010514,1,8,1,4,5,4,6,5,1,0,1,1,0,1550.3193359375
68.2859725952148,010514,1,8,1,4,5,4,1,4,1,0,1,1,0,3305.36555989583
68.2859725952148,010514,3,8, , , , , , , , , , , , 
68.2859725952148,010514,1,8,1,4,5,4,1,4,1,0,1,0,0,1700.00081380208
68.2859725952148,010514,1,8,1,4,5,4,1,5,1,0,1,0,0,856.953857421875
117.369262695313,021801,1,2,1,1,3,1,1,1,1,1,1,1,1,6129.19596354167
117.369262695313,021801,1,2,1,1,5,4,1,1,1,1,1,0,1,1616.08121744792
117.369262695313,021801,1,2,1,1,1,1,1,1,1,0,1,1,1,8316.61002604167
117.369262695313,021801,1,2,1,1,5,4,1,1,1,0,1,0,1,1920.42431640625
117.369262695313,021801,1,2,1,1,3,1,1,1,1,0,1,1,1,4592.35872395833
117.369262695313,021801,1,2,1,1,5,1,1,1,1,0,1,1,1,1794.11328125
117.369262695313,021801,5,2, , , , , , , , , , , , 
117.369262695313,021801,1,2,1,1,3,1,1,1,1,0,1,1,0,2208.40185546875
117.369262695313,021801,1,2,1,1,5,1,1,1,1,0,1,0,0,217.634256998698
173.031494140625,020101,1,3,2,1,3,1,1,1,1,0,1,0,1,7977.93619791667
173.031494140625,020101,7,3, , , , , , , , , , , , 
173.031494140625,020101,1,3,2,1,3,1,1,1,1,0,1,1,1,5412.7919921875
173.031494140625,020101,7,3, , , , , , , , , , , , 
173.031494140625,020101,3,3, , , , , , , , , , , , 
173.031494140625,020101,1,3,1,3,5,4,1,1,1,0,1,0,1,7586.04036458333
173.031494140625,020101,7,3, , , , , , , , , , , , 
173.031494140625,020101,7,3, , , , , , , , , , , , 
173.031494140625,020101,3,3, , , , , , , , , , , , 
173.031494140625,020101,1,3,1,3,1,4,1,1,1,0,1,0,1,6040.36002604167
173.031494140625,020101,7,3, , , , , , , , , , , , 
173.031494140625,020101,7,3, , , , , , , , , , , , 
220.894592285156,040104,1,1,1,1,5,1,1,1,1,0,1,0,1,3988.94889322917
220.894592285156,040104,1,1,1,2,5,4,1,1,1,0,1,0,0,395.339070638021
220.894592285156,040104,2,1,1,1,5,1,1,1,1,0,1,0,1,1642.22314453125
220.894592285156,040104,5,1, , , , , , , , , , , , 
220.894592285156,040104,1,1,1,1,5,1,1,1,1,0,1,0,1,2596.67057291667
220.894592285156,040104,1,1,1,1,3,1,1,1,1,0,1,0,1,2707.03059895833
220.894592285156,040104,1,1,1,1,5,4,1,1,1,0,1,0,1,1490.99267578125
697.003051757813,040103,1,1,1,1,5,1,1,1,1,0,1,0,1,626.941731770833
697.003051757813,040103,7,1, , , , , , , , , , , , 
697.003051757813,040103,1,1,1,1,5,1,1,1,1,1,1,0,1,4430.3203125
697.003051757813,040103,1,1,4,1,5,1,2,1,1,0,1,0,0,611.434733072917
697.003051757813,040103,7,1, , , , , , , , , , , , 
697.003051757813,040103,3,1, , , , , , , , , , , , 
697.003051757813,040103,1,1,4,1,5,1,2,2,1,1,1,0,1,1191.96150716146
697.003051757813,040103,7,1, , , , , , , , , , , , 
697.003051757813,040103,1,1,2,1,3,1,1,1,1,1,1,1,1,7568.99934895833
697.003051757813,040103,7,1, , , , , , , , , , , , 
697.003051757813,040103,7,1, , , , , , , , , , , , 
28.5665740966797,040129,2,1,1,1,2,1,1,1,1,1,1,1,1,8212.01432291667
28.5665740966797,040129,2,1,1,1,3,1,1,1,1,0,1,0,1,7711.56315104167
28.5665740966797,040129,1,1,2,1,2,1,1,1,1,1,1,1,1,12146.1536458333
28.5665740966797,040129,2,1,2,1,2,1,1,1,1,0,1,0,1,12527.75
28.5665740966797,040129,1,1,2,1,2,1,1,2,1,0,1,0,1,11792.9192708333
28.5665740966797,040129,2,1,1,1,3,1,1,1,1,0,1,1,1,25836.3125
28.5665740966797,040129,3,1, , , , , , , , , , , , 
28.5665740966797,040129,3,1, , , , , , , , , , , , 
224.343063354492,040122,2,1,1,1,5,1,1,1,1,0,1,0,0,2545.72086588542
224.343063354492,040122,3,1, , , , , , , , , , , , 
224.343063354492,040122,2,1,1,1,5,1,1,1,1,0,1,0,0,518.015909830729
224.343063354492,040122,2,1,1,1,3,1,1,1,1,1,1,0,1,4292.7900390625
224.343063354492,040122,1,1,1,1,5,4,1,1,1,0,1,1,1,3366.82975260417
224.343063354492,040122,1,1,1,1,5,1,1,1,1,0,1,0,1,2322.33333333333
63.6188354492188,040413,1,5,1,5,5,5,1,1,1,0,1,1,0,1287.08772786458
63.6188354492188,040413,1,5,1,1,5,4,1,1,1,0,1,0,1,2350.07552083333
